1,1971,4.29087
2,1972,5.66648
3,1973,6.6554
4,1974,7.46832
5,1975,8.76624
6,1976,9.56276
7,1977,9.4501
8,1978,10.60069
9,1979,11.72961
10,1980,13.09215
11,1981,13.89211
12,1982,14.50532
13,1983,14.78158
14,1984,15.2704
15,1985,15.5638
16,1986,15.82362
17,1987,18.58139
18,1988,18.21126
19,1989,16.62265
20,1990,18.04582
21,1991,19.33101
22,1992,20.95454
23,1993,21.05118
24,1994,23.23489
25,1995,24.60487
26,1996,24.58871
27,1997,25.39558
28,1998,26.59718
29,1999,27.75318
30,2000,29.05062
31,2001,29.95269
32,2002,31.01709
33,2003,31.97108
34,2004,32.84649
35,2005,33.41172
36,2006,33.86968
37,2007,34.34877
38,2008,34.90479
39,2009,35.3229
40,2010,36.29703
41,2011,37.19712
42,2012,38.51312
43,2013,39.4616
44,2014,40.22978
45,2015,40.79432
46,2016,46.85074
